#############################
8                           #
## ## ## ## ## ## ## ## ## ##
#  #  #  #  #  #  #  #  # ###
# ## ## ## ## ## ## ## ######
  ##  #  #  #  #  #  ########
# ### ## ## ## ## ###########
# ##  ##  #  #  #############
# ## #### ## ## #############
  ##  ###  #  # #############
 #### #### ## # #############
 #### ###  ## #  ############
  ###  #  ### ## ############
# #### # ###  ## ############
# #### # ### ### ############
# ###  #  ## ###      #######
#  ## ### #  ######## #######
## ## ### # #         #######
##  # ### # # ###############
### #   # # #               #
### ### # # ############### #
#   ### # # #############   #
# ##### # #           ### ###
# #     # ########### ### ###
# # #####           # ### ###
# # ############### # ### ###
# # ############### # ### ###
###               # #   #   #
################# # ### ### _
#                 # #   #   #
# ################# # ### ###
#                 # # ### ###
################# ###   # ###
#                 ##### #####
#############################
